Per-stop aggregate (ceiling=0.7%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07    1525     177     6218      3  21.5%    0.6942   +1181.58    -435.26     +746.32
    0.11    1831     202     5887      3  25.7%    0.6948   +1412.55    -647.57     +764.98
    0.15    2083     216     5619      5  29.0%    0.6951   +1598.07    -842.85     +755.22
    0.19    2335     227     5356      5  32.3%    0.6955   +1781.75   -1017.64     +764.11
    0.23    2524     258     5136      5  35.1%    0.6952   +1934.11   -1181.28     +752.83
    0.27    2732     266     4919      6  37.8%    0.6954   +2084.73   -1328.13     +756.60
    0.31    2896     262     4758      7  39.9%    0.6957   +2197.02   -1474.98     +722.04
    0.35    3055     274     4587      7  42.0%    0.6957   +2316.01   -1605.45     +710.56
    0.39    3213     271     4431      8  44.0%    0.6960   +2424.70   -1728.09     +696.61
    0.43    3346     273     4296      8  45.7%    0.6961   +2519.31   -1847.28     +672.03
    0.47    3466     279     4169      9  47.3%    0.6962   +2607.14   -1959.43     +647.71
    0.51    3611     281     4021     10  49.1%    0.6963   +2710.09   -2050.71     +659.38
    0.55    3742     277     3893     11  50.7%    0.6965   +2799.22   -2141.15     +658.07
    0.59    3852     275     3785     11  52.1%    0.6966   +2874.88   -2233.15     +641.73
    0.63    3961     274     3677     11  53.5%    0.6967   +2950.41   -2316.51     +633.90
    0.67    4058     281     3572     12  54.8%    0.6966   +3022.76   -2393.24     +629.52
    0.71    4161     282     3467     13  56.1%    0.6967   +3095.53   -2461.57     +633.96
    0.75    4262     282     3366     13  57.4%    0.6968   +3166.31   -2524.50     +641.81
    0.79    4349     275     3284     15  58.4%    0.6969   +3222.63   -2594.36     +628.27
    0.83    4419     275     3213     16  59.2%    0.6970   +3271.84   -2666.79     +605.05
    0.87    4515     272     3119     17  60.4%    0.6971   +3337.19   -2713.53     +623.66
    0.91    4617     268     3021     17  61.7%    0.6972   +3406.01   -2749.11     +656.90
    0.95    4698     264     2942     19  62.6%    0.6973   +3459.99   -2794.90     +665.09
    0.99    4789     255     2860     19  63.7%    0.6974   +3517.73   -2831.40     +686.33
    1.03    4862     248     2793     20  64.5%    0.6975   +3564.28   -2876.79     +687.49
    1.07    4918     244     2741     20  65.2%    0.6976   +3600.89   -2932.87     +668.02
    1.11    4991     237     2675     20  66.0%    0.6977   +3647.43   -2969.25     +678.18
    1.15    5065     234     2604     20  66.9%    0.6977   +3697.21   -2994.60     +702.61
    1.19    5132     231     2539     21  67.7%    0.6978   +3742.37   -3021.41     +720.96
    1.23    5193     228     2481     21  68.4%    0.6978   +3782.98   -3051.63     +731.35
    1.27    5264     221     2417     21  69.2%    0.6979   +3828.16   -3069.59     +758.57
    1.31    5321     224     2356     22  70.0%    0.6979   +3869.96   -3086.36     +783.60
    1.35    5377     225     2298     23  70.7%    0.6979   +3909.85   -3102.30     +807.55
    1.39    5430     224     2246     23  71.4%    0.6980   +3946.25   -3121.94     +824.31
    1.43    5479     226     2194     24  72.0%    0.6980   +3981.89   -3137.42     +844.47
    1.47    5522     229     2147     25  72.6%    0.6980   +4014.05   -3156.09     +857.96
    1.51    5568     233     2096     26  73.2%    0.6980   +4048.92   -3164.96     +883.96


Per-stop aggregate (ceiling=1.4%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07     861     841     6217      3  21.5%    1.1632   +1979.81    -435.19    +1544.62
    0.11    1048     984     5885      5  25.7%    1.1721   +2381.68    -647.35    +1734.33
    0.15    1202    1096     5617      7  29.0%    1.1790   +2709.32    -842.55    +1866.77
    0.19    1359    1202     5353      8  32.3%    1.1836   +3031.11   -1017.07    +2014.04
    0.23    1503    1278     5132      9  35.1%    1.1852   +3295.93   -1180.36    +2115.57
    0.27    1657    1340     4915     10  37.8%    1.1917   +3571.38   -1327.05    +2244.33
    0.31    1778    1379     4755     10  39.9%    1.1981   +3782.50   -1474.05    +2308.45
    0.35    1891    1437     4584     10  42.0%    1.2005   +3995.14   -1604.40    +2390.74
    0.39    2022    1461     4428     11  44.0%    1.2070   +4203.92   -1726.92    +2477.00
    0.43    2126    1491     4292     13  45.7%    1.2113   +4381.21   -1845.56    +2535.65
    0.47    2227    1513     4166     16  47.2%    1.2156   +4546.48   -1958.02    +2588.46
    0.51    2342    1542     4017     21  49.0%    1.2203   +4739.55   -2048.67    +2690.88
    0.55    2425    1581     3890     26  50.6%    1.2228   +4898.58   -2139.50    +2759.08
    0.59    2524    1584     3780     34  51.9%    1.2275   +5042.60   -2230.20    +2812.40
    0.63    2611    1600     3672     39  53.2%    1.2307   +5182.39   -2313.36    +2869.03
    0.67    2699    1611     3566     46  54.4%    1.2331   +5314.48   -2389.22    +2925.26
    0.71    2786    1627     3462     47  55.7%    1.2357   +5453.29   -2458.02    +2995.27
    0.75    2880    1631     3360     51  56.9%    1.2385   +5586.68   -2520.00    +3066.68
    0.79    2967    1621     3280     54  57.9%    1.2422   +5699.04   -2591.20    +3107.84
    0.83    3038    1619     3210     55  58.8%    1.2450   +5797.90   -2664.30    +3133.60
    0.87    3143    1605     3117     57  59.9%    1.2500   +5934.78   -2711.79    +3222.99
