
Per-stop aggregate (ceiling=0.7%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07     134      27     1058      4  13.2%    0.6918    +111.39     -74.06      +37.33
    0.11     198      33      988      4  18.9%    0.6932    +160.14    -108.68      +51.46
    0.15     264      40      914      5  24.9%    0.6936    +210.87    -137.10      +73.77
    0.19     323      37      857      6  29.4%    0.6953    +250.32    -162.83      +87.49
    0.23     349      43      824      7  32.1%    0.6943    +272.15    -189.52      +82.63
    0.27     388      45      783      7  35.4%    0.6945    +300.73    -211.41      +89.32
    0.31     413      47      755      8  37.6%    0.6948    +319.59    -234.05      +85.54
    0.35     436      49      730      8  39.7%    0.6947    +336.91    -255.50      +81.41
    0.39     465      48      701      9  41.9%    0.6950    +356.56    -273.39      +83.17
    0.43     481      55      678      9  43.8%    0.6948    +372.44    -291.54      +80.90
    0.47     505      57      652      9  46.0%    0.6948    +390.50    -306.44      +84.06
    0.51     532      54      628      9  47.9%    0.6955    +407.59    -320.28      +87.31
    0.55     558      54      602      9  50.0%    0.6957    +425.79    -331.10      +94.69
    0.59     579      54      580     10  51.8%    0.6959    +440.49    -342.20      +98.29
    0.63     600      54      559     10  53.5%    0.6960    +455.19    -352.17     +103.02
    0.67     615      54      543     11  54.7%    0.6961    +465.69    -363.81     +101.88
    0.71     635      55      521     12  56.4%    0.6962    +480.34    -369.91     +110.43
    0.75     643      56      511     13  57.2%    0.6961    +486.56    -383.25     +103.31
    0.79     656      53      501     13  58.0%    0.6963    +493.67    -395.79      +97.88
    0.83     666      51      492     14  58.6%    0.6965    +499.40    -408.36      +91.04
    0.87     675      50      484     14  59.3%    0.6967    +505.10    -421.08      +84.02
    0.91     682      50      477     14  59.9%    0.6967    +510.00    -434.07      +75.93
    0.95     690      49      468     16  60.4%    0.6968    +514.91    -444.60      +70.31
    0.99     696      45      466     16  60.6%    0.6970    +516.44    -461.34      +55.10
    1.03     703      42      461     17  60.9%    0.6972    +519.45    -474.83      +44.62
    1.07     708      42      455     18  61.3%    0.6973    +522.95    -486.85      +36.10
    1.11     717      42      445     19  62.1%    0.6973    +529.25    -493.95      +35.30
    1.15     738      40      425     20  63.6%    0.6975    +542.62    -488.75      +53.87
    1.19     753      37      412     21  64.6%    0.6978    +551.24    -490.28      +60.96
    1.23     765      37      399     22  65.6%    0.6978    +559.64    -490.77      +68.87
