x-reversal with Mage   spec_label 22_go_20260921
  line             ws12x, with ws12Mage
  reversal         jig._Causal.reversal, wob 6 bars = 30 s
  oob              15/85
  same side        a -1 down-turn with the Mage >= 85, a +1 up-turn with it <= 15
  window           2026-09-01 00:00:00 -> 2026-09-03 00:00:00
  qualifying       82 reversals in 26 Mage oob stretches

  bar                  ws12x    ws12Mage  turn   oob stretch start   n in stretch
  ------------------------------------------------------------------------------
  2026-09-01 00:30:45    125.66      85.79  down   09-01 00:30:00      1
  2026-09-01 05:43:30    140.87     116.76  down   09-01 05:35:35      3
  2026-09-01 05:47:50    138.40     113.71  down   09-01 05:35:35      3
  2026-09-01 05:58:40     99.29     100.49  down   09-01 05:35:35      3
  2026-09-01 06:17:45     43.39      87.74  down   09-01 06:17:00      1
  2026-09-01 08:19:35    -19.55       4.65  up     09-01 08:13:30      8
  2026-09-01 08:37:30     31.67      11.66  up     09-01 08:13:30      8
  2026-09-01 08:46:30     10.24       5.01  up     09-01 08:13:30      8
  2026-09-01 08:56:55    -49.98      -2.56  up     09-01 08:13:30      8
  2026-09-01 09:08:00      1.89      -0.41  up     09-01 08:13:30      8
  2026-09-01 09:17:05     22.02       4.06  up     09-01 08:13:30      8
  2026-09-01 09:21:20     39.38       7.38  up     09-01 08:13:30      8
  2026-09-01 09:24:00     78.06      14.77  up     09-01 08:13:30      8
  2026-09-01 09:30:05     62.64      12.20  up     09-01 09:28:30      2
  2026-09-01 09:32:55     76.03      14.42  up     09-01 09:28:30      2
  2026-09-01 09:34:30     76.71      14.53  up     09-01 09:33:35      1
  2026-09-01 09:40:15     72.11      13.40  up     09-01 09:38:45      1
  2026-09-01 18:04:50    -18.35      12.31  up     09-01 18:03:20      2
  2026-09-01 18:07:10    -13.08      14.08  up     09-01 18:03:20      2
  2026-09-01 18:11:30    -28.75       8.11  up     09-01 18:08:00      10
  2026-09-01 18:14:20     -1.71       9.56  up     09-01 18:08:00      10
  2026-09-01 18:23:45    -39.48      -8.83  up     09-01 18:08:00      10
  2026-09-01 18:24:40     -7.10      -0.58  up     09-01 18:08:00      10
  2026-09-01 18:29:05    -19.82      -5.70  up     09-01 18:08:00      10
  2026-09-01 18:45:25    -45.12     -21.41  up     09-01 18:08:00      10
  2026-09-01 18:49:00     -7.84      -7.83  up     09-01 18:08:00      10
  2026-09-01 18:52:25     28.95       2.32  up     09-01 18:08:00      10
  2026-09-01 18:56:45     40.19       5.07  up     09-01 18:08:00      10
  2026-09-01 18:58:20     40.81       5.22  up     09-01 18:08:00      10
  2026-09-01 19:08:40     89.67      13.46  up     09-01 19:07:40      1
  2026-09-01 21:41:00    -13.09      13.39  up     09-01 21:37:00      1
  2026-09-01 21:55:00    -22.81      14.85  up     09-01 21:53:30      1
  2026-09-01 21:58:35    -22.19      14.92  up     09-01 21:56:55      1
  2026-09-01 21:59:35    -28.95      14.15  up     09-01 21:58:55      1
  2026-09-01 22:26:30    -18.55      13.72  up     09-01 22:24:55      1
  2026-09-02 01:40:35    -40.94      13.01  up     09-02 01:38:00      1
  2026-09-02 02:06:25      1.32       9.50  up     09-02 01:42:05      1
  2026-09-02 02:24:15     37.01      13.82  up     09-02 02:22:40      1
  2026-09-02 07:41:35    -37.81      14.26  up     09-02 07:36:55      1
  2026-09-02 07:49:35    -16.54      10.66  up     09-02 07:47:55      5
  2026-09-02 07:53:40    -31.44       1.13  up     09-02 07:47:55      5
  2026-09-02 07:55:45    -24.30       6.13  up     09-02 07:47:55      5
  2026-09-02 08:00:00     -5.40       6.74  up     09-02 07:47:55      5
  2026-09-02 08:03:25    -19.74       0.77  up     09-02 07:47:55      5
  2026-09-02 08:35:00    -43.05      -3.60  up     09-02 08:29:25      12
  2026-09-02 08:37:15     20.12       8.75  up     09-02 08:29:25      12
  2026-09-02 09:03:25     17.90       1.86  up     09-02 08:29:25      12
  2026-09-02 09:07:10     48.70       9.17  up     09-02 08:29:25      12
  2026-09-02 09:12:25     34.07       4.97  up     09-02 08:29:25      12
  2026-09-02 09:56:50     23.97       4.38  up     09-02 08:29:25      12
  2026-09-02 09:59:40     46.18       7.24  up     09-02 08:29:25      12
  2026-09-02 10:07:45    -28.30       0.48  up     09-02 08:29:25      12
  2026-09-02 10:08:55     -7.92       3.48  up     09-02 08:29:25      12
  2026-09-02 10:09:30     10.59       5.39  up     09-02 08:29:25      12
  2026-09-02 10:14:10     65.27      11.64  up     09-02 08:29:25      12
  2026-09-02 10:18:25    104.56      14.87  up     09-02 08:29:25      12
  2026-09-02 10:50:50    -22.23       2.60  up     09-02 10:39:25      1
  2026-09-02 11:27:15     17.11      12.26  up     09-02 11:20:40      1
  2026-09-02 17:09:10    -38.51     -12.51  up     09-02 17:04:40      6
  2026-09-02 17:20:45    -54.00     -48.69  up     09-02 17:04:40      6
  2026-09-02 17:31:00    -33.51     -29.68  up     09-02 17:04:40      6
  2026-09-02 17:33:40    -27.84     -25.46  up     09-02 17:04:40      6
  2026-09-02 17:40:10     12.20      -7.99  up     09-02 17:04:40      6
  2026-09-02 17:43:50     16.00      -6.50  up     09-02 17:04:40      6
  2026-09-02 18:24:10      4.93      -2.12  up     09-02 18:01:15      10
  2026-09-02 18:41:15     -1.88      -5.03  up     09-02 18:01:15      10
  2026-09-02 18:44:20     12.74      -0.55  up     09-02 18:01:15      10
  2026-09-02 18:46:35     30.06       4.25  up     09-02 18:01:15      10
  2026-09-02 18:48:15    103.30       8.90  up     09-02 18:01:15      10
  2026-09-02 18:51:45    117.57       9.99  up     09-02 18:01:15      10
  2026-09-02 18:54:45     81.55       7.65  up     09-02 18:01:15      10
  2026-09-02 18:58:20    109.73       9.36  up     09-02 18:01:15      10
  2026-09-02 19:06:25     71.53      10.22  up     09-02 18:01:15      10
  2026-09-02 19:07:55    111.09      12.58  up     09-02 18:01:15      10
  2026-09-02 19:23:10      6.01      10.49  up     09-02 19:16:05      8
  2026-09-02 19:27:40    -55.63       6.72  up     09-02 19:16:05      8
  2026-09-02 19:30:50    -59.41       3.56  up     09-02 19:16:05      8
  2026-09-02 19:39:55      1.64       7.92  up     09-02 19:16:05      8
  2026-09-02 19:42:45      2.04       7.99  up     09-02 19:16:05      8
  2026-09-02 19:44:40      3.66       8.29  up     09-02 19:16:05      8
  2026-09-02 19:57:15     26.86      11.66  up     09-02 19:16:05      8
  2026-09-02 19:58:10     28.92      11.95  up     09-02 19:16:05      8
