x-reversal with Mage   spec_label 22_go_20260921
  line             ws8x, with ws8Mage
  reversal         jig._Causal.reversal, wob 6 bars = 30 s
  oob              15/85
  same side        a -1 down-turn with the Mage >= 85, a +1 up-turn with it <= 15
  window           2026-09-01 00:00:00 -> 2026-09-03 00:00:00
  qualifying       58 reversals in 19 Mage oob stretches

  bar                  ws8 x    ws8 Mage  turn   oob stretch start   n in stretch
  ------------------------------------------------------------------------------
  2026-09-01 00:24:05    120.18      94.07  down   09-01 00:23:05      4
  2026-09-01 00:29:35    116.75      91.11  down   09-01 00:23:05      4
  2026-09-01 00:30:45    126.02      99.57  down   09-01 00:23:05      4
  2026-09-01 00:31:55    116.75      91.11  down   09-01 00:23:05      4
  2026-09-01 05:43:30    142.95     126.04  down   09-01 05:35:35      3
  2026-09-01 05:47:50    105.13     113.72  down   09-01 05:35:35      3
  2026-09-01 05:58:40     79.59     102.90  down   09-01 05:35:35      3
  2026-09-01 06:17:45     68.29      88.77  down   09-01 06:16:55      2
  2026-09-01 06:18:20     53.09      85.85  down   09-01 06:16:55      2
  2026-09-01 08:13:20    -35.63      11.44  up     09-01 08:09:30      9
  2026-09-01 08:16:05    -13.13      10.20  up     09-01 08:09:30      9
  2026-09-01 08:19:35    -32.39       1.59  up     09-01 08:09:30      9
  2026-09-01 08:37:30     46.52      11.30  up     09-01 08:09:30      9
  2026-09-01 08:46:30     44.13       8.84  up     09-01 08:09:30      9
  2026-09-01 08:56:55     -1.97       5.15  up     09-01 08:09:30      9
  2026-09-01 09:08:00     11.29       5.42  up     09-01 08:09:30      9
  2026-09-01 09:17:05     30.01       8.83  up     09-01 08:09:30      9
  2026-09-01 09:21:20     86.64      14.56  up     09-01 08:09:30      9
  2026-09-01 11:50:05    101.24      90.19  down   09-01 11:40:15      3
  2026-09-01 11:52:50     88.28      90.01  down   09-01 11:40:15      3
  2026-09-01 11:54:55    105.10      94.70  down   09-01 11:40:15      3
  2026-09-01 18:11:30    -20.11      13.52  up     09-01 18:08:15      1
  2026-09-01 18:14:20    -26.82      11.49  up     09-01 18:11:50      7
  2026-09-01 18:23:45    -33.94      -2.87  up     09-01 18:11:50      7
  2026-09-01 18:24:40     -1.23       4.11  up     09-01 18:11:50      7
  2026-09-01 18:29:05    -18.10      -1.05  up     09-01 18:11:50      7
  2026-09-01 18:45:25     -5.28      -8.12  up     09-01 18:11:50      7
  2026-09-01 18:49:00     27.88       1.57  up     09-01 18:11:50      7
  2026-09-01 18:52:25     70.43      11.45  up     09-01 18:11:50      7
  2026-09-02 01:40:35    -38.83       5.75  up     09-02 01:36:30      2
  2026-09-02 02:06:25     32.14       0.28  up     09-02 01:36:30      2
  2026-09-02 02:24:30     82.20      10.80  up     09-02 02:22:15      1
  2026-09-02 07:41:35    -29.55      -1.32  up     09-02 07:36:50      6
  2026-09-02 07:49:35    -11.34      -0.86  up     09-02 07:36:50      6
  2026-09-02 07:53:40    -18.56      -7.91  up     09-02 07:36:50      6
  2026-09-02 07:55:45     -4.41      -1.84  up     09-02 07:36:50      6
  2026-09-02 08:00:00     15.45       2.39  up     09-02 07:36:50      6
  2026-09-02 08:03:25     -6.66      -4.34  up     09-02 07:36:50      6
  2026-09-02 08:27:45     28.95      13.50  up     09-02 08:25:45      4
  2026-09-02 08:35:00    -14.19      -4.66  up     09-02 08:25:45      4
  2026-09-02 08:37:15     10.76       6.45  up     09-02 08:25:45      4
  2026-09-02 09:03:25     57.85       7.00  up     09-02 08:25:45      4
  2026-09-02 09:12:25     74.96      11.93  up     09-02 09:07:40      1
  2026-09-02 09:56:50     34.88      12.37  up     09-02 09:30:30      1
  2026-09-02 10:07:45    -28.05       7.00  up     09-02 10:03:45      2
  2026-09-02 10:08:55     30.99      13.25  up     09-02 10:03:45      2
  2026-09-02 10:50:50    -20.87       8.42  up     09-02 10:41:00      1
  2026-09-02 17:09:10    -47.15     -15.99  up     09-02 17:02:05      6
  2026-09-02 17:20:45    -29.99     -33.36  up     09-02 17:02:05      6
  2026-09-02 17:31:00      2.39     -14.43  up     09-02 17:02:05      6
  2026-09-02 17:33:40     12.38     -10.27  up     09-02 17:02:05      6
  2026-09-02 17:40:10     53.50       1.88  up     09-02 17:02:05      6
  2026-09-02 17:43:50     59.07       3.26  up     09-02 17:02:05      6
  2026-09-02 18:24:10     21.35       8.15  up     09-02 18:03:45      3
  2026-09-02 18:41:15    -26.59       7.28  up     09-02 18:03:45      3
  2026-09-02 18:44:20     81.40      11.35  up     09-02 18:03:45      3
  2026-09-02 19:27:40    -61.12      14.95  up     09-02 19:27:10      1
  2026-09-02 19:30:50    -30.13      14.06  up     09-02 19:28:30      1
