H|all-three-oob, 1 min tolerance = a rolling 12 bar = 60 s window|oob 15/85 on the stretch dr side
H|event bar = the LAST bar of the earliest qualifying window (MINE)|swing_detect find_pivots(px, 2.0)|px check +396 bars = 33 min
E|#|event bar|dr|last oob bar per line (order)|span s|ws1mage-rev|ws2mage-rev|ws3mage-rev|earliest mage-rev|next swing pivot|kind|min after|px at mage-rev|px +33min|px move %|dr flip
E|1|2026-09-01 05:42:00|+1|ws1@05:42:00 ws2@05:42:00 ws3@05:42:00|0|09-01 05:43:20|09-01 05:43:20|09-01 05:43:20|09-01 05:43:20|09-01 08:58:55|L|195.6|0.17979957|0.17842588|-0.764|06:24:40
E|2|2026-09-01 07:00:00|-1|ws1@07:00:00 ws2@07:00:00 ws3@07:00:00|0|09-01 07:00:40|09-01 07:00:40|09-01 07:00:40|09-01 07:00:40|09-01 08:58:55|L|118.2|0.17574904|0.17736252|+0.918|07:22:35
E|3|2026-09-01 07:24:00|+1|ws1@07:24:00 ws2@07:24:00 ws3@07:24:00|0|09-01 07:27:15|09-01 10:16:40|09-01 10:25:40|09-01 07:27:15|09-01 08:58:55|L|91.7|0.17771907|0.17660153|-0.629|08:03:45
E|4|2026-09-01 15:10:10|-1|ws1@15:10:10 ws2@15:10:10 ws3@15:10:10|0|09-01 15:11:15|09-01 15:11:15|09-01 15:11:15|09-01 15:11:15|09-01 18:38:40|L|207.4|0.17541916|0.17691983|+0.855|15:49:40
E|5|2026-09-01 17:57:10|-1|ws1@17:57:10 ws2@17:57:10 ws3@17:57:10|0|09-01 18:00:10|09-01 18:00:10|09-01 18:11:35|09-01 18:00:10|09-01 18:38:40|L|38.5|0.17369842|0.17013209|-2.053|19:11:20
E|6|2026-09-01 20:03:00|-1|ws1@20:03:00 ws2@20:03:00 ws3@20:03:00|0|09-01 20:05:05|09-01 20:29:00|09-01 20:49:10|09-01 20:05:05|09-02 01:50:50|L|345.8|0.17078663|0.17045430|-0.195|21:03:15
E|7|2026-09-02 03:28:10|+1|ws1@03:28:10 ws2@03:28:10 ws3@03:28:10|0|09-02 03:29:20|09-02 03:29:20|09-02 03:29:20|09-02 03:29:20|09-02 10:50:20|L|441.0|0.16683876|0.16588581|-0.571|03:43:55
E|8|2026-09-02 05:03:00|-1|ws1@05:03:00 ws2@05:03:00 ws3@05:03:00|0|09-02 05:04:15|09-02 05:04:15|09-02 05:04:15|09-02 05:04:15|09-02 10:50:20|L|346.1|0.16460311|0.16543263|+0.504|05:29:50
E|9|2026-09-02 05:06:00|-1|ws1@05:06:00 ws2@05:06:00 ws3@05:06:00|0|09-02 05:06:30|09-02 05:06:30|09-02 05:06:30|09-02 05:06:30|09-02 10:50:20|L|343.8|0.16433050|0.16526910|+0.571|05:29:50
E|10|2026-09-02 12:58:00|-1|ws1@12:58:00 ws2@12:58:00 ws3@12:58:00|0|09-02 13:00:25|09-02 13:00:25|09-02 13:00:25|09-02 13:00:25|09-02 13:44:55|H|44.5|0.16062561|0.16083481|+0.130|13:27:25
E|11|2026-09-02 16:21:00|+1|ws1@16:21:00 ws2@16:21:00 ws3@16:21:00|0|09-02 16:24:00|09-02 16:24:00|09-02 16:24:00|09-02 16:24:00|09-02 17:20:20|L|56.3|0.16222228|0.16059125|-1.005|16:42:00
E|12|2026-09-02 17:09:00|-1|ws1@17:08:50 ws2@17:08:50 ws3@17:09:00|10|09-02 17:10:35|09-02 17:10:35|09-02 17:10:35|09-02 17:10:35|09-02 17:20:20|L|9.8|0.15915122|0.15715236|-1.256|17:51:25
E|13|2026-09-02 17:51:25|+1|ws1@17:51:25 ws2@17:51:25 ws3@17:51:25|0|09-02 17:53:45|09-02 20:26:30|09-02 20:26:30|09-02 17:53:45|09-02 19:33:05|L|99.3|0.15923223|0.15588770|-2.100|18:09:30
E|14|2026-09-02 18:15:00|-1|ws1@18:15:00 ws2@18:15:00 ws3@18:15:00|0|09-02 18:37:45|09-02 18:37:45|09-02 18:37:45|09-02 18:37:45|09-02 19:33:05|L|55.3|0.15542577|0.15668152|+0.808|19:10:15
E|15|2026-09-02 19:30:00|-1|ws1@19:30:00 ws2@19:30:00 ws3@19:30:00|0|09-02 19:31:35|09-02 19:31:35|09-02 19:31:35|09-02 19:31:35|09-02 19:33:05|L|1.5|0.15470080|0.15591827|+0.787|20:04:05
E|16|2026-09-03 05:22:00|-1|ws1@05:22:00 ws2@05:22:00 ws3@05:22:00|0|09-03 05:24:40|09-03 07:50:45|09-03 05:28:45|09-03 05:24:40|09-03 05:28:15|L|3.6|0.15804134|0.16036487|+1.470|05:49:40
E|17|2026-09-03 06:39:00|+1|ws1@06:39:00 ws2@06:39:00 ws3@06:39:00|0|09-03 06:39:35|09-03 06:39:35|09-03 06:39:35|09-03 06:39:35|09-03 08:07:55|H|88.3|0.16118735|0.16146496|+0.172|07:30:55
E|18|2026-09-03 14:03:00|-1|ws1@14:03:00 ws2@14:03:00 ws3@14:03:00|0|09-03 14:04:45|09-03 14:04:45|09-03 20:03:25|09-03 14:04:45|09-03 16:02:20|H|117.6|0.16179268|0.16389075|+1.297|14:20:55
E|19|2026-09-03 16:52:00|+1|ws1@16:51:55 ws2@16:52:00 ws3@16:52:00|5|09-03 16:53:40|09-03 17:18:05|09-03 17:49:40|09-03 16:53:40|09-03 19:33:25|H|159.8|0.17182443|0.17242699|+0.351|17:11:40
E|20|2026-09-03 19:52:00|-1|ws1@19:52:00 ws2@19:52:00 ws3@19:52:00|0|09-03 19:55:30|09-03 20:03:25|09-03 20:03:25|09-03 19:55:30|09-03 21:08:40|L|73.2|0.17472994|0.17357372|-0.662|21:14:35
E|21|2026-09-03 22:13:00|-1|ws1@22:13:00 ws2@22:13:00 ws3@22:13:00|0|09-03 22:14:15|09-03 22:14:15|09-03 22:14:15|09-03 22:14:15|09-03 23:23:55|L|69.7|0.17028649|0.16838866|-1.114|23:35:10
E|22|2026-09-03 23:38:00|+1|ws1@23:38:00 ws2@23:38:00 ws3@23:38:00|0|09-03 23:40:50|09-03 23:41:55|09-04 00:42:15|09-03 23:40:50|09-04 00:41:35|H|60.8|0.16969232|0.16940218|-0.171|00:26:35
E|23|2026-09-04 01:03:25|-1|ws1@01:03:25 ws2@01:03:25 ws3@01:03:25|0|09-04 01:05:45|09-04 01:05:45|09-04 01:05:45|09-04 01:05:45|09-04 01:42:30|L|36.8|0.16777775|0.16746367|-0.187|01:51:40
E|24|2026-09-04 10:11:00|-1|ws1@10:11:00 ws2@10:11:00 ws3@10:11:00|0|09-04 10:11:45|09-04 10:11:45|09-04 10:11:45|09-04 10:11:45|09-04 10:19:40|L|7.9|0.17053207|0.17002047|-0.300|11:08:45
E|25|2026-09-04 17:54:05|-1|ws1@17:53:35 ws2@17:54:05 ws3@17:54:05|30|09-04 18:37:15|09-04 18:31:05|09-04 19:12:15|09-04 18:31:05|09-05 04:13:50|L|582.8|0.16582498|0.16636625|+0.326|19:01:15
E|26|2026-09-05 02:06:00|-1|ws1@02:06:00 ws2@02:06:00 ws3@02:06:00|0|09-05 02:08:55|09-05 02:08:55|09-05 02:08:55|09-05 02:08:55|09-05 04:13:50|L|124.9|0.16279203|0.16347917|+0.422|04:53:50
E|27|2026-09-05 06:35:00|+1|ws1@06:35:00 ws2@06:35:00 ws3@06:35:00|0|09-05 06:36:55|09-05 06:36:55|09-05 06:36:55|09-05 06:36:55|09-05 08:18:35|H|101.7|0.16499931|0.16679724|+1.090|07:57:55
E|28|2026-09-05 21:25:35|+1|ws1@21:25:35 ws2@21:25:35 ws3@21:25:35|0|09-05 21:28:20|09-06 00:23:25|09-06 00:23:25|09-05 21:28:20|09-05 21:31:25|H|3.1|0.17490309|0.17485310|-0.029|22:06:40
C|events 28
