2026-09-03 00:24:42  DatabaseManager             INFO      MySQL connected
2026-09-03 00:24:42  DatabaseManager             INFO      MySQL disconnected
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars
  ws30r flips to true  at dr +1 : 287
  ws30r flips to true  at dr -1 : 287
  ws20r flips to false at dr +1 : 326
  ws20r flips to false at dr -1 : 319
  rows: 1,219

  utc                  event           dr   from      to        
  -------------------  ------------   ---   --------  --------  
  2026-08-03 00:42:25  ws20r false     -1   momo      sideways  
  2026-08-03 00:44:00  ws20r false     -1   momo      sideways  
  2026-08-03 02:18:30  ws30r true      -1   sideways  momo      
  2026-08-03 02:19:20  ws30r true      -1   none      momo      
  2026-08-03 02:19:30  ws30r true      -1   none      momo      
  2026-08-03 03:50:55  ws30r true      +1   none      momo      
  2026-08-03 03:51:25  ws30r true      +1   none      momo      
  2026-08-03 03:53:00  ws30r true      +1   none      momo      
  2026-08-03 03:53:55  ws20r false     +1   momo      none      
  2026-08-03 04:00:00  ws30r true      +1   none      momo      
  2026-08-03 05:24:00  ws20r false     +1   momo      none      
  2026-08-03 06:49:45  ws20r false     -1   momo      curl      
  2026-08-03 06:50:50  ws20r false     -1   momo      curl      
  2026-08-03 06:52:00  ws20r false     -1   momo      curl      
  2026-08-03 06:55:55  ws30r true      +1   none      momo      
  2026-08-03 06:56:25  ws30r true      +1   none      momo      
  2026-08-03 07:41:15  ws20r false     -1   momo      none      
  2026-08-03 07:41:40  ws20r false     -1   momo      none      
  2026-08-03 07:43:45  ws20r false     -1   momo      none      
  2026-08-03 09:14:40  ws20r false     +1   momo      none      
  2026-08-03 09:14:55  ws20r false     +1   momo      none      
  2026-08-03 09:15:10  ws20r false     +1   momo      none      
  2026-08-03 10:20:00  ws20r false     +1   momo      none      
  2026-08-03 11:55:30  ws30r true      -1   none      momo      
  2026-08-03 11:58:25  ws30r true      -1   none      momo      
  2026-08-03 12:52:05  ws20r false     -1   momo      none      
  2026-08-03 12:54:05  ws20r false     -1   momo      none      
  2026-08-03 12:55:40  ws20r false     -1   momo      none      
  2026-08-03 13:37:45  ws20r false     +1   momo      none      
  2026-08-03 14:01:55  ws30r true      -1   none      momo      
  2026-08-03 14:52:05  ws20r false     +1   momo      none      
  2026-08-03 14:52:50  ws20r false     +1   momo      none      
  2026-08-03 14:56:00  ws20r false     +1   momo      none      
  2026-08-03 15:06:00  ws30r true      +1   sideways  momo      
  2026-08-03 15:07:35  ws30r true      +1   sideways  momo      
  2026-08-03 15:08:20  ws30r true      +1   sideways  momo      
  2026-08-03 15:09:00  ws30r true      +1   sideways  momo      
  2026-08-03 15:09:35  ws30r true      +1   sideways  momo      
  2026-08-03 15:10:50  ws30r true      +1   sideways  momo      
  2026-08-03 15:12:00  ws30r true      +1   sideways  momo      
  2026-08-03 15:37:00  ws20r false     -1   momo      curl      
  2026-08-03 15:38:05  ws20r false     -1   momo      curl      
