2026-09-03 04:08:53  DatabaseManager             INFO      MySQL connected
2026-09-03 04:08:53  DatabaseManager             INFO      MySQL disconnected
  K_WINDOW 3   MOMO_SLOPE_MIN 1.2   MOMO_R2_MIN 0.5   LEVEL_SLACK 13.9
  ws20r false-flip fires on: sideways or none
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars

  CHECK, the 08-04 run that started this: ws20r dr -1, banked extrema 07:00:10
    momentum-false bars 06:30 to 07:40 under the combined setting: 06:31:00 -> sideways, 06:31:35 -> sideways, 06:31:45 -> sideways, 06:33:45 -> sideways, 06:34:00 -> sideways

  ws30r flips to true  at dr +1 : 324
  ws30r flips to true  at dr -1 : 288
  ws20r flips to false at dr +1 : 337
  ws20r flips to false at dr -1 : 385
  rows: 1,334

  utc                  event           dr   from      to        
  -------------------  ------------   ---   --------  --------  
  2026-08-03 00:04:30  ws30r true      -1   sideways  momo      
  2026-08-03 00:09:00  ws30r true      -1   sideways  momo      
  2026-08-03 00:12:20  ws30r true      -1   sideways  momo      
  2026-08-03 00:13:30  ws30r true      -1   sideways  momo      
  2026-08-03 00:18:00  ws30r true      -1   sideways  momo      
  2026-08-03 00:22:40  ws30r true      -1   sideways  momo      
  2026-08-03 00:34:30  ws20r false     -1   momo      sideways  
  2026-08-03 00:36:30  ws20r false     -1   momo      sideways  
  2026-08-03 00:37:10  ws20r false     -1   momo      sideways  
  2026-08-03 00:37:20  ws20r false     -1   momo      sideways  
  2026-08-03 00:38:40  ws20r false     -1   momo      sideways  
  2026-08-03 00:39:00  ws20r false     -1   momo      sideways  
  2026-08-03 01:13:55  ws30r true      -1   sideways  momo      
  2026-08-03 01:14:10  ws30r true      -1   sideways  momo      
  2026-08-03 01:16:05  ws30r true      -1   sideways  momo      
  2026-08-03 01:18:45  ws30r true      -1   sideways  momo      
  2026-08-03 03:46:25  ws20r false     +1   momo      none      
  2026-08-03 03:47:15  ws20r false     +1   momo      none      
  2026-08-03 03:50:50  ws30r true      +1   none      momo      
  2026-08-03 04:00:00  ws30r true      +1   none      momo      
  2026-08-03 04:17:20  ws20r false     +1   momo      sideways  
  2026-08-03 04:19:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:20:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:22:10  ws20r false     +1   momo      sideways  
  2026-08-03 04:25:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:25:45  ws20r false     +1   momo      sideways  
  2026-08-03 04:28:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:28:45  ws20r false     +1   momo      sideways  
  2026-08-03 04:31:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:31:40  ws20r false     +1   momo      sideways  
  2026-08-03 04:34:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:40:15  ws20r false     +1   momo      sideways  
  2026-08-03 04:44:55  ws20r false     +1   momo      sideways  
  2026-08-03 04:45:30  ws20r false     +1   momo      sideways  
  2026-08-03 04:48:35  ws20r false     +1   momo      sideways  
  2026-08-03 04:50:50  ws20r false     +1   momo      sideways  
  2026-08-03 04:53:45  ws20r false     +1   momo      sideways  
  2026-08-03 04:56:00  ws20r false     +1   momo      sideways  
  2026-08-03 04:56:30  ws20r false     +1   momo      sideways  
  2026-08-03 05:02:00  ws20r false     +1   momo      sideways  
  2026-08-03 06:37:35  ws30r true      +1   none      momo      
  2026-08-03 06:37:55  ws30r true      +1   none      momo      
  2026-08-03 06:39:30  ws30r true      +1   none      momo      
  2026-08-03 06:39:55  ws30r true      +1   none      momo      
  2026-08-03 06:40:20  ws30r true      +1   none      momo      
  2026-08-03 07:28:05  ws20r false     -1   momo      none      
  2026-08-03 07:29:05  ws20r false     -1   momo      none      
  2026-08-03 09:07:35  ws20r false     +1   momo      none      
  2026-08-03 09:57:15  ws20r false     +1   momo      none      
  2026-08-03 09:59:00  ws20r false     +1   momo      none      
  2026-08-03 12:31:05  ws20r false     -1   momo      none      
  2026-08-03 12:33:15  ws20r false     -1   momo      none      
  2026-08-03 12:33:50  ws20r false     -1   momo      none      
  2026-08-03 12:34:00  ws20r false     -1   momo      none      
  2026-08-03 12:39:00  ws30r true      -1   curl      momo      
  2026-08-03 13:37:50  ws20r false     +1   momo      none      
  2026-08-03 13:39:05  ws20r false     +1   momo      none      
  2026-08-03 13:42:55  ws30r true      -1   none      momo      
  2026-08-03 13:43:30  ws30r true      -1   none      momo      
  2026-08-03 14:34:05  ws20r false     +1   momo      none      
  2026-08-03 14:35:45  ws20r false     +1   momo      none      
  2026-08-03 14:36:00  ws20r false     +1   momo      none      
  2026-08-03 16:49:20  ws20r false     -1   momo      sideways  
  2026-08-03 16:51:00  ws20r false     -1   momo      none      
  2026-08-03 18:43:40  ws30r true      +1   sideways  momo      
  2026-08-03 18:47:40  ws30r true      +1   sideways  momo      
  2026-08-03 18:48:00  ws30r true      +1   sideways  momo      
  2026-08-03 18:51:50  ws30r true      +1   sideways  momo      
  2026-08-03 18:55:35  ws30r true      +1   sideways  momo      
  2026-08-03 18:56:20  ws30r true      +1   sideways  momo      
  2026-08-03 19:00:00  ws30r true      +1   sideways  momo      
  2026-08-03 19:00:25  ws30r true      +1   sideways  momo      
  2026-08-03 19:00:35  ws30r true      +1   sideways  momo      
  2026-08-03 19:00:50  ws30r true      +1   sideways  momo      
  2026-08-03 19:03:55  ws30r true      +1   sideways  momo      
  2026-08-03 19:04:30  ws30r true      +1   sideways  momo      
  2026-08-03 19:05:40  ws20r false     +1   momo      none      
  2026-08-03 19:08:25  ws30r true      +1   sideways  momo      
  2026-08-03 19:09:00  ws30r true      +1   sideways  momo      
  2026-08-03 19:12:40  ws30r true      +1   sideways  momo      
  2026-08-03 19:13:30  ws30r true      +1   sideways  momo      
  2026-08-03 19:21:55  ws30r true      +1   sideways  momo      
  2026-08-03 19:22:30  ws30r true      +1   sideways  momo      
  2026-08-03 19:24:20  ws30r true      +1   sideways  momo      
  2026-08-03 19:34:30  ws30r true      +1   sideways  momo      
  2026-08-03 19:39:00  ws30r true      +1   sideways  momo      
  2026-08-03 19:43:30  ws30r true      +1   sideways  momo      
  2026-08-03 19:44:40  ws30r true      +1   sideways  momo      
  2026-08-03 19:44:55  ws30r true      +1   sideways  momo      
  2026-08-03 19:48:15  ws30r true      +1   sideways  momo      
  2026-08-03 21:17:00  ws20r false     -1   momo      none      
  2026-08-03 21:39:10  ws30r true      -1   curl      momo      
  2026-08-03 21:39:40  ws30r true      -1   curl      momo      
  2026-08-03 21:39:50  ws30r true      -1   curl      momo      
  2026-08-03 21:40:05  ws30r true      -1   curl      momo      
  2026-08-03 21:43:30  ws30r true      -1   sideways  momo      
  2026-08-03 22:57:00  ws30r true      -1   sideways  momo      
  2026-08-03 22:58:50  ws30r true      -1   sideways  momo      
  2026-08-04 00:54:00  ws20r false     +1   momo      sideways  
  2026-08-04 00:55:45  ws20r false     +1   momo      sideways  
  2026-08-04 00:55:55  ws20r false     +1   momo      sideways  
  2026-08-04 05:46:30  ws30r true      -1   curl      momo      
  2026-08-04 05:56:10  ws20r false     -1   momo      sideways  
  2026-08-04 05:57:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:11:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:13:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:13:50  ws20r false     -1   momo      sideways  
  2026-08-04 06:16:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:16:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:20:35  ws20r false     -1   momo      sideways  
  2026-08-04 06:22:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:25:55  ws20r false     -1   momo      sideways  
  2026-08-04 06:28:55  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:35  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:33:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:34:00  ws20r false     -1   momo      sideways  
  2026-08-04 09:00:00  ws30r true      +1   none      momo      
  2026-08-04 09:02:45  ws30r true      +1   sideways  momo      
  2026-08-04 09:04:30  ws30r true      +1   sideways  momo      
  2026-08-04 09:27:00  ws30r true      +1   sideways  momo      
  2026-08-04 09:27:20  ws30r true      +1   sideways  momo      
  2026-08-04 09:28:20  ws30r true      +1   sideways  momo      
  2026-08-04 09:34:45  ws30r true      +1   sideways  momo      
  2026-08-04 09:35:15  ws30r true      +1   sideways  momo      
  2026-08-04 09:35:25  ws30r true      +1   sideways  momo      
  2026-08-04 09:36:00  ws20r false     +1   momo      sideways  
  2026-08-04 09:36:00  ws30r true      +1   sideways  momo      
  2026-08-04 09:37:00  ws20r false     +1   momo      sideways  
  2026-08-04 09:39:15  ws30r true      +1   sideways  momo      
  2026-08-04 09:40:50  ws30r true      +1   sideways  momo      
  2026-08-04 09:41:25  ws30r true      +1   sideways  momo      
