# hs60x(4|0.37|close) X hs60m(6|0.45|close) TF60 | 06-28..07-08 | grid=60m wob=8 | 1% swing MAE
# up=long, dn=short | median MAE 0.279, n=98
time_utc, dir, MAE, MFE
Jun-28 03:00:35, short, 0.257, 1.765
Jun-28 04:00:35, long, 0.925, 0.559
Jun-28 08:00:35, short, 1.652, 0.624
Jun-28 12:00:35, long, 0.183, 0.823
Jun-28 13:00:35, short, 0.000, 1.010
Jun-28 15:00:35, long, 0.525, 1.406
Jun-28 17:00:35, short, 0.414, 1.162
Jun-28 19:00:35, long, 1.303, 0.511
Jun-29 00:00:35, short, 0.055, 0.704
Jun-29 03:00:35, long, -0.000, 2.292
Jun-29 04:00:35, short, 0.052, 2.728
Jun-29 07:00:35, long, 0.334, 2.620
Jun-29 08:00:35, short, 0.291, 1.954
Jun-29 11:00:35, long, 0.917, 2.009
Jun-29 12:00:35, short, 0.000, 0.151
Jun-29 13:00:35, long, 0.005, 1.809
Jun-29 14:00:35, short, 0.387, 1.257
Jun-29 17:00:35, long, 0.349, 2.999
Jun-29 20:00:35, short, 0.581, 1.840
Jun-29 22:00:35, long, 2.367, 0.165
Jun-30 00:00:35, short, 0.356, 1.689
Jun-30 01:00:35, long, 0.203, 0.741
Jun-30 03:00:35, short, 0.200, 1.439
Jun-30 06:00:35, long, 0.118, 1.094
Jun-30 07:00:35, short, 0.406, 1.045
Jun-30 10:00:35, long, 0.399, 1.331
Jun-30 18:00:35, short, 0.000, 0.230
Jun-30 20:00:35, long, -0.000, 1.049
Jun-30 21:00:35, short, 0.454, 3.063
Jun-30 22:00:35, long, 1.424, 0.433
Jul-01 01:00:35, short, 0.095, 1.813
Jul-01 09:00:35, long, -0.000, 0.751
Jul-01 13:00:35, short, 0.621, 1.126
Jul-01 14:00:35, long, 0.926, 1.006
Jul-01 15:00:35, short, 0.422, 1.258
Jul-01 18:00:35, long, 0.245, 1.683
Jul-01 22:00:35, short, 0.031, 1.274
Jul-02 00:00:35, long, 0.759, 3.403
Jul-02 03:00:35, short, 0.000, 0.835
Jul-02 04:00:35, long, 0.022, 0.826
Jul-02 05:00:35, short, 0.366, 1.064
Jul-02 07:00:35, long, 0.437, 2.115
Jul-02 09:00:35, short, 0.086, 0.630
Jul-02 13:00:35, long, 0.191, 1.292
Jul-02 15:00:35, short, 0.000, 1.288
Jul-02 17:00:35, long, 0.065, 0.716
Jul-02 19:00:35, short, 0.211, 0.792
Jul-02 21:00:35, long, 0.765, 1.865
Jul-02 22:00:35, short, 0.283, 1.628
Jul-03 01:00:35, long, -0.000, 3.508
Jul-03 02:00:35, short, 0.369, 0.710
Jul-03 09:00:35, long, -0.000, 2.320
Jul-03 10:00:35, short, 0.196, 0.846
Jul-03 12:00:35, long, 0.729, 0.809
Jul-03 14:00:35, short, 0.185, 1.304
Jul-03 16:00:35, long, 1.518, 0.165
Jul-03 19:00:35, short, 3.134, 0.001
Jul-03 20:00:35, long, 0.181, 2.511
Jul-03 21:00:35, short, 0.435, 1.052
Jul-03 23:00:35, long, 0.320, 1.517
Jul-04 01:00:35, short, 0.151, 4.329
Jul-04 02:00:35, long, 2.838, 0.185
Jul-04 04:00:35, short, 1.120, 0.088
Jul-04 05:00:35, long, 0.151, 3.277
Jul-04 07:00:35, short, 0.218, 0.911
Jul-04 09:00:35, long, 1.649, 0.637
Jul-04 18:00:35, short, 0.109, 2.714
Jul-04 20:00:35, long, 1.562, 0.191
Jul-05 00:00:35, short, 0.000, 0.577
Jul-05 02:00:35, long, 2.084, 0.015
Jul-05 06:00:35, short, 0.040, 0.613
Jul-05 07:00:35, long, 0.546, 0.423
Jul-05 08:00:35, short, 0.025, 1.483
Jul-05 11:00:35, long, 1.942, 0.000
Jul-05 15:00:35, short, 0.102, 1.190
Jul-05 20:00:35, long, 0.204, 3.127
Jul-05 21:00:35, short, 3.278, 0.058
Jul-06 04:00:35, long, 0.100, 0.332
Jul-06 05:00:35, short, 0.049, 2.901
Jul-06 06:00:35, long, 1.867, 0.264
Jul-06 08:00:35, short, 0.179, 1.707
Jul-06 10:00:35, long, 0.077, 1.341
Jul-06 12:00:35, short, 0.150, 1.894
Jul-06 13:00:35, long, 0.276, 3.034
Jul-06 16:00:35, short, 1.075, 0.397
Jul-06 21:00:35, long, 0.110, 1.923
Jul-06 23:00:35, short, 0.093, 2.100
Jul-07 00:00:35, long, 0.341, 1.546
Jul-07 03:00:35, short, 0.713, 2.987
Jul-07 04:00:35, long, 0.197, 0.272
Jul-07 09:00:35, short, 0.949, 0.391
Jul-07 10:00:35, long, 0.785, 2.771
Jul-07 11:00:35, short, 3.584, -0.000
Jul-07 15:00:35, long, 0.361, 1.421
Jul-07 16:00:35, short, 0.118, 0.507
Jul-07 18:00:35, long, 7.426, 0.000
Jul-07 21:00:35, short, 0.197, 4.111
Jul-07 22:00:35, long, 0.441, 0.975
