timestamp_utc,direction,duration_bars,timestamp_ms
2026-05-15T14:36:40+00:00,SHORT,5,1778855800000
2026-05-15T14:38:40+00:00,LONG,4,1778855920000
2026-05-15T14:42:05+00:00,LONG,3,1778856125000
2026-05-15T14:48:10+00:00,LONG,16,1778856490000
2026-05-15T14:58:10+00:00,SHORT,9,1778857090000
2026-05-15T15:04:00+00:00,LONG,4,1778857440000
2026-05-15T15:11:10+00:00,SHORT,6,1778857870000
2026-05-15T15:16:25+00:00,LONG,4,1778858185000
2026-05-15T15:22:00+00:00,SHORT,2,1778858520000
2026-05-15T15:27:45+00:00,LONG,1,1778858865000
2026-05-15T15:29:45+00:00,LONG,5,1778858985000
2026-05-15T15:32:15+00:00,SHORT,4,1778859135000
2026-05-15T15:37:25+00:00,LONG,5,1778859445000
2026-05-15T15:40:50+00:00,LONG,5,1778859650000
2026-05-15T15:43:00+00:00,SHORT,7,1778859780000
2026-05-15T15:45:30+00:00,LONG,5,1778859930000
2026-05-15T15:53:15+00:00,SHORT,2,1778860395000
2026-05-15T16:03:05+00:00,LONG,3,1778860985000
2026-05-15T16:05:00+00:00,LONG,1,1778861100000
2026-05-15T16:10:20+00:00,SHORT,9,1778861420000
2026-05-15T16:15:15+00:00,SHORT,3,1778861715000
2026-05-15T16:18:45+00:00,SHORT,1,1778861925000
2026-05-15T16:23:05+00:00,SHORT,1,1778862185000
2026-05-15T16:25:15+00:00,SHORT,9,1778862315000
2026-05-15T16:26:10+00:00,SHORT,7,1778862370000
2026-05-15T16:33:25+00:00,SHORT,5,1778862805000
2026-05-15T16:35:05+00:00,SHORT,1,1778862905000
2026-05-15T16:36:40+00:00,SHORT,1,1778863000000
2026-05-15T16:39:15+00:00,LONG,1,1778863155000
2026-05-15T16:44:25+00:00,LONG,4,1778863465000
2026-05-15T16:47:45+00:00,LONG,1,1778863665000
2026-05-15T16:51:45+00:00,LONG,2,1778863905000
2026-05-15T17:03:30+00:00,SHORT,2,1778864610000
2026-05-15T17:17:45+00:00,LONG,3,1778865465000
2026-05-15T17:18:10+00:00,LONG,3,1778865490000
2026-05-15T17:20:45+00:00,SHORT,1,1778865645000
2026-05-15T17:27:40+00:00,SHORT,4,1778866060000
2026-05-15T17:29:05+00:00,SHORT,3,1778866145000
2026-05-15T17:41:00+00:00,SHORT,1,1778866860000
2026-05-15T17:47:45+00:00,LONG,4,1778867265000
2026-05-15T17:49:10+00:00,LONG,7,1778867350000
2026-05-15T18:10:20+00:00,LONG,2,1778868620000
2026-05-15T18:10:40+00:00,LONG,4,1778868640000
2026-05-15T18:13:30+00:00,SHORT,4,1778868810000
2026-05-15T18:15:00+00:00,SHORT,1,1778868900000
2026-05-15T18:20:15+00:00,LONG,13,1778869215000
2026-05-15T18:29:05+00:00,LONG,6,1778869745000
2026-05-15T18:33:00+00:00,LONG,11,1778869980000
2026-05-15T18:38:15+00:00,SHORT,9,1778870295000
2026-05-15T18:40:50+00:00,SHORT,2,1778870450000
2026-05-15T18:41:45+00:00,SHORT,2,1778870505000
2026-05-15T18:42:05+00:00,SHORT,1,1778870525000
2026-05-15T18:48:05+00:00,LONG,3,1778870885000
2026-05-15T18:52:40+00:00,SHORT,1,1778871160000
2026-05-15T18:58:55+00:00,LONG,6,1778871535000
2026-05-15T19:02:50+00:00,LONG,3,1778871770000
2026-05-15T19:17:35+00:00,SHORT,3,1778872655000
2026-05-15T19:19:15+00:00,SHORT,5,1778872755000
2026-05-15T19:24:20+00:00,SHORT,15,1778873060000
2026-05-15T19:36:00+00:00,SHORT,8,1778873760000
2026-05-15T19:56:10+00:00,LONG,2,1778874970000
2026-05-15T19:56:55+00:00,LONG,1,1778875015000
2026-05-15T20:06:25+00:00,LONG,11,1778875585000
2026-05-15T20:07:45+00:00,LONG,1,1778875665000
2026-05-15T20:10:20+00:00,LONG,2,1778875820000
2026-05-15T20:21:40+00:00,LONG,6,1778876500000
2026-05-15T20:24:15+00:00,SHORT,6,1778876655000
2026-05-15T20:28:10+00:00,SHORT,10,1778876890000
2026-05-15T20:34:15+00:00,LONG,5,1778877255000
2026-05-15T20:41:10+00:00,LONG,3,1778877670000
2026-05-15T20:44:45+00:00,LONG,4,1778877885000
